OBJECTID_1,FULLADDR,ADDRNUM,STREETNAME,STREETSUFF
17019,1628 5TH ST,1628,5TH,ST
17024,4134 AMBER ST,4134,AMBER,ST
17028,3239 OURAY ST,3239,OURAY,ST
17034,5738 N ORCHARD CREEK CIR,5738,ORCHARD CREEK,CIR
17041,3120 BELL DR,3120,BELL,DR
17043,"780 WALNUT ST, UNIT C",780,WALNUT,ST
17045,3737 WONDERLAND HILL AVE,3737,WONDERLAND HILL,AVE
17046,408 ARAPAHOE AVE,408,ARAPAHOE,AVE
17047,"624 PEARL ST, UNIT 401",624,PEARL,ST
17051,3855 ORANGE CT,3855,ORANGE,CT
17071,3151 BELL DR,3151,BELL,DR
17080,2439 KALMIA AVE,2439,KALMIA,AVE
17096,"3200 CARBON PL, UNIT 203",3200,CARBON,PL
17098,3938 PROMONTORY CT,3938,PROMONTORY,CT
17100,4940 PEARL EAST CIR,4940,PEARL EAST,CIR
17106,"5505 VALMONT RD, UNIT 268",5505,VALMONT,RD
17109,5230 ILLINI WAY,5230,ILLINI,WAY
17122,895 MEADOW GLEN DR,895,MEADOW GLEN,DR
17123,3268 SENTINEL DR,3268,SENTINEL,DR
17130,5424 WHITE PL,5424,WHITE,PL
17153,124 MINEOLA CT,124,MINEOLA,CT
17158,112 MINEOLA CT,112,MINEOLA,CT
17160,"6292 ARAPAHOE RD, UNIT 18",6292,ARAPAHOE,RD
17173,"4202 GREENBRIAR BLVD, UNIT 46",4202,GREENBRIAR,BLVD
17179,1911 5TH ST,1911,5TH,ST
17180,3675 SILVERTON ST,3675,SILVERTON,ST
17185,6212 SONGBIRD CIR,6212,SONGBIRD,CIR
17190,623 MARINE ST,623,MARINE,ST
17202,5521 FRIENDS PL,5521,FRIENDS,PL
17212,4184 GREENBRIAR BLVD,4184,GREENBRIAR,BLVD
17215,373 ARAPAHOE AVE,373,ARAPAHOE,AVE
17218,520 PEARL ST,520,PEARL,ST
17253,1765 GILLASPIE DR,1765,GILLASPIE,DR
17256,4775 HARRISON AVE,4775,HARRISON,AVE
17260,1075 ROXWOOD LN,1075,ROXWOOD,LN
17283,5537 PIONEER RD,5537,PIONEER,RD
17288,67 GENESEE CT,67,GENESEE,CT
17294,1275 CHERRYVALE RD,1275,CHERRYVALE,RD
17305,808 RACQUET LN,808,RACQUET,LN
17309,780 QUINCE CIR,780,QUINCE,CIR
17314,995 POPLAR PL,995,POPLAR,PL
17342,3835 SILVER PLUME CIR,3835,SILVER PLUME,CIR
17357,3153 NOBLE CT,3153,NOBLE,CT
17362,2075 55TH ST,2075,55TH,ST
17365,3267 NOBLE CT,3267,NOBLE,CT
17372,3099 FULTON CIR,3099,FULTON,CIR
17387,930 ITHACA DR,930,ITHACA,DR
17391,901 MEADOW GLEN DR,901,MEADOW GLEN,DR
17393,"3200 CARBON PL, UNIT 105",3200,CARBON,PL
17394,"5000 BUTTE ST, UNIT 279",5000,BUTTE,ST
17415,"1170 MONROE DR, UNIT B",1170,MONROE,DR
17417,4023 OLD WESTBURY CT,4023,OLD WESTBURY,CT
17421,815 UTICA AVE,815,UTICA,AVE
17431,3950 GREENBRIAR BLVD,3950,GREENBRIAR,BLVD
17434,3090 EDISON CT,3090,EDISON,CT
17435,"624 PEARL ST, UNIT 303",624,PEARL,ST
17462,4886 HOPKINS PL,4886,HOPKINS,PL
17464,5830 ORCHARD CREEK LN,5830,ORCHARD CREEK,LN
17466,4520 NASSAU PL,4520,NASSAU,PL
17473,3313 SENTINEL DR,3313,SENTINEL,DR
17487,395 QUAIL CIR,395,QUAIL,CIR
17494,513 PEARL ST,513,PEARL,ST
17500,1635 6TH ST,1635,6TH,ST
17501,"625 PEARL ST, UNIT 22",625,PEARL,ST
17518,365 OAKWOOD PL,365,OAKWOOD,PL
17521,4553 PUSSYWILLOW CT,4553,PUSSYWILLOW,CT
17528,3776 PALISADE DR,3776,PALISADE,DR
17529,3159 OURAY ST,3159,OURAY,ST
17541,127 GENESEE CT,127,GENESEE,CT
17542,3256 BIG HORN ST,3256,BIG HORN,ST
17562,6169 SONGBIRD CIR,6169,SONGBIRD,CIR
17569,1111 UTICA CIR,1111,UTICA,CIR
17582,1204 SUMAC AVE,1204,SUMAC,AVE
17584,1311 SONGBIRD CT,1311,SONGBIRD,CT
17594,444 MORRISON ALY,444,MORRISON,ALY
17596,454 MORRISON ALY,454,MORRISON,ALY
17613,160 MANHATTAN DR,160,MANHATTAN,DR
17621,1648 9TH ST,1648,9TH,ST
17626,801 UNIVERSITY AVE,801,UNIVERSITY,AVE
17632,3725 SILVER PLUME LN,3725,SILVER PLUME,LN
17635,855 POPLAR AVE,855,POPLAR,AVE
17646,"5000 BUTTE ST, UNIT 44",5000,BUTTE,ST
17647,2088 5TH ST,2088,5TH,ST
17649,1705 7TH ST,1705,7TH,ST
17655,6121 SONGBIRD CIR,6121,SONGBIRD,CIR
17657,4903 NOBLE PARK PL,4903,NOBLE PARK,PL
17662,835 ROXWOOD LN,835,ROXWOOD,LN
17670,965 MIAMI WAY,965,MIAMI,WAY
17686,4729 MCKINLEY DR,4729,MCKINLEY,DR
17687,82 MINEOLA CT,82,MINEOLA,CT
17690,3627 SILVERTON ST,3627,SILVERTON,ST
17701,"5505 VALMONT RD, UNIT 274",5505,VALMONT,RD
17707,745 UNIVERSITY AVE,745,UNIVERSITY,AVE
17710,"3260 47TH ST, UNIT 201A",3260,47TH,ST
17712,3202 BIG HORN ST,3202,BIG HORN,ST
17720,483 MARINE ST,483,MARINE,ST
17724,3988 CAMPO CT,3988,CAMPO,CT
17731,3771 PALISADE DR,3771,PALISADE,ST
17733,3052 STERLING CIR,3052,STERLING,CIR
17738,"5505 VALMONT RD, UNIT 51",5505,VALMONT,RD
17745,"5000 BUTTE ST, UNIT 156",5000,BUTTE,ST
17749,3084 PALO PKWY,3084,PALO,PKWY
17764,5250 MANHATTAN CIR,5250,MANHATTAN,CIR
17765,4805 HOPKINS PL,4805,HOPKINS,PL
17782,3166 PALO PKWY,3166,PALO,PKWY
17784,1725 GILLASPIE DR,1725,GILLASPIE,DR
17795,1705 GILLASPIE DR,1705,GILLASPIE,DR
17804,6391 SWALLOW LN,6391,SWALLOW,LN
17806,5471 WHITE PL,5471,WHITE,PL
17822,435 ARAPAHOE AVE,435,ARAPAHOE,AVE
17835,3236 PALO PKWY,3236,PALO,PKWY
17858,3807 HAUPTMAN CT,3807,HAUPTMAN,CT
17872,4896 KINGS RIDGE BLVD,4896,KINGS RIDGE,BLVD
17883,"5505 VALMONT RD, UNIT 272",5505,VALMONT,RD
17886,3973 PROMONTORY CT,3973,PROMONTORY,CT
17898,760 UTICA AVE,760,UTICA,AVE
17903,755 PEARL ST,755,PEARL,ST
17907,"3785 BIRCHWOOD DR, UNIT 70",3785,BIRCHWOOD,DR
17911,4703 HARRISON AVE,4703,HARRISON,AVE
17922,5574 STONEWALL PL,5574,STONEWALL,PL
17924,2873 NEBRINA PL,2873,NEBRINA,PL
17936,123 GENESEE CT,123,GENESEE,CT
17946,1615 7TH ST,1615,7TH,ST
17968,751 MARINE ST,751,MARINE,ST
17969,603 MARINE ST,603,MARINE,ST
17975,3094 OURAY ST,3094,OURAY,ST
17980,3199 NOBLE CT,3199,NOBLE,CT
17984,3870 BIRCHWOOD DR,3870,BIRCHWOOD,DR
17985,4491 APPLEWOOD CT,4491,APPLEWOOD,CT
17986,4754 MCKINLEY DR,4754,MCKINLEY,DR
17990,4148 GREENBRIAR BLVD,4148,GREENBRIAR,BLVD
17998,4584 MAPLE CT,4584,MAPLE,CT
18001,1133 UTICA CIR,1133,UTICA,CIR
18006,4097 ST LUCIA ST,4097,SAINT LUCIA,ST
18025,5528 FRIENDS PL,5528,FRIENDS,PL
18027,933 UNION AVE,933,UNION,AVE
18032,5215 CENTENNIAL TRL,5215,CENTENNIAL,TRL
18036,55 ONTARIO CT,55,ONTARIO,CT
18042,"5000 BUTTE ST, UNIT 108",5000,BUTTE,ST
18043,875 MEADOW GLEN DR,875,MEADOW GLEN,DR
18057,799 RACQUET LN,799,RACQUET,LN
18065,780 RACQUET LN,780,RACQUET,LN
18068,6239 SONGBIRD CIR,6239,SONGBIRD,CIR
18081,420 UTICA AVE,420,UTICA,AVE
18082,1435 OLD TALE RD,1435,OLD TALE,RD
18090,3038 FULTON CIR,3038,FULTON,CIR
18099,3106 BELL DR,3106,BELL,DR
18130,2495 AGATE RD,2495,AGATE,RD
18131,3790 SILVER PLUME LN,3790,SILVER PLUME,LN
18132,"600 ARAPAHOE AVE, UNIT 7",600,ARAPAHOE,AVE
18138,"1647 9TH ST, UNIT 5",1647,9TH,ST
18139,"5000 BUTTE ST, UNIT 292",5000,BUTTE,ST
18149,2064 5TH ST,2064,5TH,ST
18153,540 UNIVERSITY AVE,540,UNIVERSITY,AVE
18165,"3850 PASEO DEL PRADO, UNIT 28",3850,PASEO DEL PRADO, 
18177,107 MINEOLA CT,107,MINEOLA,CT
18189,2890 CARNEGIE DR,2890,CARNEGIE,DR
18208,"5505 VALMONT RD, UNIT 328",5505,VALMONT,RD
18210,3980 ST PETERSBURG ST,3980,SAINT PETERSBURG,ST
18214,"5000 BUTTE ST, UNIT 63",5000,BUTTE,ST
18224,4224 GREENBRIAR BLVD,4224,GREENBRIAR,BLVD
18225,847 RACQUET LN,847,RACQUET,LN
18226,1647 7TH ST,1647,7TH,ST
18234,568 MARINE ST,568,MARINE,ST
18238,1366 CHERRYVALE RD,1366,CHERRYVALE,RD
18239,4765 GIBBS AVE,4765,GIBBS,AVE
18243,4647 S HAMPTON CIR,4647,HAMPTON,CIR
18247,1110 POPLAR AVE,1110,POPLAR,AVE
18261,"5000 BUTTE ST, UNIT 75",5000,BUTTE,ST
18266,4744 FRANKLIN DR,4744,FRANKLIN,DR
18267,1130 QUINCE AVE,1130,QUINCE,AVE
18272,5333 E EUCLID AVE,5333,EUCLID,AVE
18275,1030 POPLAR AVE,1030,POPLAR,AVE
18277,"824 WALNUT ST, UNIT 45",824,WALNUT,ST
18281,"840 PEARL ST, UNIT A",840,PEARL,ST
18283,4096 ST LUCIA ST,4096,SAINT LUCIA,ST
18290,1075 UTICA AVE,1075,UTICA,AVE
18293,535 NORTHSTAR CT,535,NORTHSTAR,CT
18315,1593 MACARTHUR DR,1593,MACARTHUR,DR
18321,"5505 VALMONT RD, UNIT 26",5505,VALMONT,RD
18323,2884 NEBRINA PL,2884,NEBRINA,PL
18347,837 MARINE ST,837,MARINE,ST
18355,514 PEARL ST,514,PEARL,ST
18357,1632 63RD ST,1632,63RD,ST
18360,5588 STONEWALL PL,5588,STONEWALL,PL
18369,"5000 BUTTE ST, UNIT 84",5000,BUTTE,ST
18385,3064 EDISON CT,3064,EDISON,CT
18389,859 STONEWALL PL,859,STONEWALL,PL
18409,"5000 BUTTE ST, UNIT 20",5000,BUTTE,ST
18411,"5000 BUTTE ST, UNIT 133",5000,BUTTE,ST
18415,"5000 BUTTE ST, UNIT 5",5000,BUTTE,ST
18432,3986 PROMONTORY CT,3986,PROMONTORY,CT
18433,1212 REDWOOD AVE,1212,REDWOOD,AVE
18438,805 LINDEN AVE,805,LINDEN,AVE
18458,1040 ITHACA DR,1040,ITHACA,DR
18491,2339 KALMIA AVE,2339,KALMIA,AVE
18495,897 ITHACA DR,897,ITHACA,DR
18498,5488 OMAHA PL,5488,OMAHA,PL
18504,5100 N 51ST ST,5100,51ST,ST
18517,3002 STERLING CIR,3002,STERLING,CIR
18518,4120 ST LUCIA ST,4120,SAINT LUCIA,ST
18522,5480 WHITE PL,5480,WHITE,PL
18529,4058 OLD WESTBURY CT,4058,OLD WESTBURY,CT
18544,3813 ABEYTA CT,3813,ABEYTA,CT
18559,2854 NEBRINA PL,2854,NEBRINA,PL
18578,747 POPLAR AVE,747,POPLAR,AVE
18592,2480 AGATE LN,2480,AGATE,LN
18593,815 MEADOW GLEN DR,815,MEADOW GLEN,DR
18600,716 MARINE ST,716,MARINE,ST
18605,5515 STONEWALL PL,5515,STONEWALL,PL
18616,"5000 BUTTE ST, UNIT 101",5000,BUTTE,ST
18622,857 ROXWOOD LN,857,ROXWOOD,LN
18636,6203 SONGBIRD CIR,6203,SONGBIRD,CIR
18640,755 UTICA AVE,755,UTICA,AVE
18646,4685 HARRISON AVE,4685,HARRISON,AVE
18648,656 MARINE ST,656,MARINE,ST
18653,1503 6TH ST,1503,6TH,ST
18657,3732 WONDERLAND HILL AVE,3732,WONDERLAND HILL,AVE
18664,5610 PENNSYLVANIA AVE,5610,PENNSYLVANIA,AVE
18671,716 SPRUCE ST,716,SPRUCE,ST
18687,5335 HOLMES PL,5335,HOLMES,PL
18688,3696 SILVER PLUME LN,3696,SILVER PLUME,LN
18691,77 MINEOLA CT,77,MINEOLA,CT
18693,"5505 VALMONT RD, UNIT 277",5505,VALMONT,RD
18695,3104 BELL DR,3104,BELL,DR
18699,5365 CENTENNIAL TRL,5365,CENTENNIAL,TRL
18700,460 OAKWOOD PL,460,OAKWOOD,PL
18710,3210 WRIGHT AVE,3210,WRIGHT,AVE
18714,"2020 5TH ST, UNIT D",2020,5TH,ST
18737,927 ARAPAHOE AVE,927,ARAPAHOE,AVE
18739,"3260 47TH ST, UNIT 207A",3260,47TH,ST
18742,909 WALNUT ST,909,WALNUT,ST
18752,4368 SNOWBERRY CT,4368,SNOWBERRY,CT
18755,2981 STERLING CT,2981,STERLING,CT
18761,59 HURON CT,59,HURON,CT
18765,920 HARTFORD DR,920,HARTFORD,DR
18780,1385 LODGE LN,1385,LODGE,LN
18784,3030 STERLING CIR,3030,STERLING,CIR
18803,2485 AGATE LN,2485,AGATE,LN
18819,859 ROXWOOD LN,859,ROXWOOD,LN
18826,"4500 19TH ST, UNIT 37",4500,19TH,ST
18827,619 ARAPAHOE AVE,619,ARAPAHOE,AVE
18831,"720 PEARL ST, UNIT 3B",720,PEARL,ST
18845,"777 POPLAR AVE, UNIT 737",777,POPLAR,AVE
18858,3865 NORWOOD CT,3865,NORWOOD,CT
18862,1564 MACARTHUR DR,1564,MACARTHUR,DR
18884,89 HURON CT,89,HURON,CT
18899,2920 PEARL ST,2920,PEARL,ST
18910,1075 POPLAR AVE,1075,POPLAR,AVE
18912,3093 EDISON CT,3093,EDISON,CT
18915,"5000 BUTTE ST, UNIT 6",5000,BUTTE,ST
18926,4734 JACKSON CIR,4734,JACKSON,CIR
18937,1625 LINCOLN PL,1625,LINCOLN,PL
18940,626 POPLAR AVE,626,POPLAR,AVE
18957,548 UTICA CT,548,UTICA,CT
18960,4040 GREENBRIAR BLVD,4040,GREENBRIAR,BLVD
18967,990 HARTFORD DR,990,HARTFORD,DR
18968,6163 GALE DR,6163,GALE,DR
18973,2480 30TH ST,2480,30TH,ST
19000,3160 KITTRELL CT,3160,KITTRELL,CT
19003,450 MARINE ST,450,MARINE,ST
19019,3811 SILVER PLUME CIR,3811,SILVER PLUME,CIR
19023,52 GENESEE CT,52,GENESEE,CT
19028,"5540 STONEWALL PL, UNIT 23",5540,STONEWALL,PL
19030,4813 HOPKINS PL,4813,HOPKINS,PL
19049,1528 HARRISON AVE,1528,HARRISON,AVE
19060,540 KALMIA AVE,540,KALMIA,AVE
19067,967 POPLAR PL,967,POPLAR,PL
19068,410 ARAPAHOE AVE,410,ARAPAHOE,AVE
19070,3046 FULTON CIR,3046,FULTON,CIR
19079,1544 8TH ST,1544,8TH,ST
19084,5600 PENNSYLVANIA AVE,5600,PENNSYLVANIA,AVE
19085,3217 WRIGHT AVE,3217,WRIGHT,AVE
19087,2910 BAYLOR DR,2910,BAYLOR,DR
19098,"1166 MONROE DR, UNIT D",1166,MONROE,DR
19111,1203 CHERRYVALE RD,1203,CHERRYVALE,RD
19125,4270 19TH ST,4270,19TH,ST
19140,5366 GALLATIN PL,5366,GALLATIN,PL
19144,1501 REDWOOD AVE,1501,REDWOOD,AVE
19151,"5000 BUTTE ST, UNIT 7",5000,BUTTE,ST
19154,1030 UNION AVE,1030,UNION,AVE
19158,3054 FULTON CIR,3054,FULTON,CIR
19173,"620 PEARL ST, UNIT H",620,PEARL,ST
19182,"5550 STONEWALL PL, UNIT 34",5550,STONEWALL,PL
19188,3185 NOBLE CT,3185,NOBLE,CT
19193,"5000 BUTTE ST, UNIT 161",5000,BUTTE,ST
19220,4101 47TH ST,4101,47TH,ST
19230,3205 WRIGHT AVE,3205,WRIGHT,AVE
19238,810 MARINE ST,810,MARINE,ST
19240,"6292 ARAPAHOE RD, UNIT 17",6292,ARAPAHOE,RD
19246,5818 ORCHARD CREEK LN,5818,ORCHARD CREEK,LN
19260,3003 EDISON CT,3003,EDISON,CT
19262,727 PEARL ST,727,PEARL,ST
19270,1675 GILLASPIE DR,1675,GILLASPIE,DR
19276,"5505 VALMONT RD, UNIT 286",5505,VALMONT,RD
19282,"3200 CARBON PL, UNIT 206",3200,CARBON,PL
19296,308 PEARL ST,308,PEARL,ST
19298,5346 CENTENNIAL TRL,5346,CENTENNIAL,TRL
19306,4780 HANCOCK DR,4780,HANCOCK,DR
19309,5477 BLACK HAWK RD,5477,BLACK HAWK,RD
19321,5205 GALLATIN PL,5205,GALLATIN,PL
19328,3033 FULTON CIR,3033,FULTON,CIR
19331,3700 LONGWOOD AVE,3700,LONGWOOD,AVE
19335,1542 MACARTHUR DR,1542,MACARTHUR,DR
19341,77 ILLINI CT,77,ILLINI,CT
19344,5527 STONEWALL PL,5527,STONEWALL,PL
19357,6280 ARAPAHOE RD,6280,ARAPAHOE,RD
19364,690 NORTHSTAR CT,690,NORTHSTAR,CT
19370,"720 PEARL ST, UNIT 1A",720,PEARL,ST
19379,"5000 BUTTE ST, UNIT 17",5000,BUTTE,ST
19384,3654 ROUNDTREE CT,3654,ROUNDTREE,CT
19385,2330 LINDEN AVE,2330,LINDEN,AVE
19388,767 POPLAR AVE,767,POPLAR,AVE
19389,448 PEARL ST,448,PEARL,ST
19392,971 POPLAR AVE,971,POPLAR,AVE
19393,5820 ORCHARD CREEK CIR,5820,ORCHARD CREEK,CIR
19399,4474 S HAMPTON CIR,4474,HAMPTON,CIR
19404,58 ONTARIO CT,58,ONTARIO,CT
19405,885 MEADOW GLEN DR,885,MEADOW GLEN,DR
19411,5438 OMAHA PL,5438,OMAHA,PL
19413,3812 ANGELOVIC CT,3812,ANGELOVIC,CT
19415,"780 WALNUT ST, UNIT 16",780,WALNUT,ST
19421,"5000 BUTTE ST, UNIT 289",5000,BUTTE,ST
19425,1525 SUMAC AVE,1525,SUMAC,AVE
19438,68 HURON CT,68,HURON,CT
19441,2315 LINDEN AVE,2315,LINDEN,AVE
19465,1928 6TH ST,1928,6TH,ST
19479,4090 OLD WESTBURY CT,4090,OLD WESTBURY,CT
19489,1515 REDWOOD AVE,1515,REDWOOD,AVE
19490,600 LINDEN AVE,600,LINDEN,AVE
19491,3655 SILVER PLUME LN,3655,SILVER PLUME,LN
19495,3134 BELL DR,3134,BELL,DR
19496,"5505 VALMONT RD, UNIT 281",5505,VALMONT,RD
19513,"5000 BUTTE ST, UNIT 42",5000,BUTTE,ST
19514,4976 PEARL EAST CIR,4976,PEARL EAST,CIR
19518,756 COTTAGE LN,756,COTTAGE,LN
19531,"5741 ARAPAHOE RD, UNIT 4A",5741,ARAPAHOE,RD
19539,6331 ARAPAHOE RD,6331,ARAPAHOE,RD
19540,1508 HARRISON AVE,1508,HARRISON,AVE
19556,"3850 PASEO DEL PRADO, UNIT 4",3850,PASEO DEL PRADO, 
19573,"715 ARAPAHOE AVE, UNIT 3",715,ARAPAHOE,AVE
19581,3865 NORTHBROOK DR,3865,NORTHBROOK,DR
19582,115 HURON CT,115,HURON,CT
19583,3102 PALO PKWY,3102,PALO,PKWY
19590,658 POPLAR AVE,658,POPLAR,AVE
19603,1176 QUINCE AVE,1176,QUINCE,AVE
19606,2370 30TH ST,2370,30TH,ST
19607,"5000 BUTTE ST, UNIT 285",5000,BUTTE,ST
19610,1855 S FLATIRON CT,1855,FLATIRON,CT
19631,5397 S BOULDER RD,5397,BOULDER,RD
19638,"5000 BUTTE ST, UNIT 128",5000,BUTTE,ST
19644,707 POPLAR AVE,707,POPLAR,AVE
19647,500 KALMIA AVE,500,KALMIA,AVE
19649,4331 SNOWBERRY CT,4331,SNOWBERRY,CT
19658,920 UNION AVE,920,UNION,AVE
19662,4777 MCKINLEY DR,4777,MCKINLEY,DR
19663,"842 PEARL ST, UNIT G",842,PEARL,ST
19665,3750 LAKEBRIAR DR,3750,LAKEBRIAR,DR
19666,4812 BALDWIN PL,4812,BALDWIN,PL
19668,3106 KITTRELL CT,3106,KITTRELL,CT
19677,787 RACQUET LN,787,RACQUET,LN
19696,3723 WONDERLAND HILL AVE,3723,WONDERLAND HILL,AVE
19699,"5510 STONEWALL PL, UNIT 25",5510,STONEWALL,PL
19718,1575 7TH ST,1575,7TH,ST
19724,1655 GILLASPIE DR,1655,GILLASPIE,DR
19725,"3200 CARBON PL, UNIT 207",3200,CARBON,PL
19743,985 MIAMI WAY,985,MIAMI,WAY
19745,584 LINDEN PARK CT,584,LINDEN PARK,CT
19752,4756 MCKINLEY DR,4756,MCKINLEY,DR
19753,603 SPRUCE ST,603,SPRUCE,ST
19760,935 POPLAR PL,935,POPLAR,PL
19770,4550 MACARTHUR DR,4550,MACARTHUR,DR
19772,1707 GILLASPIE DR,1707,GILLASPIE,DR
19773,666 UTICA AVE,666,UTICA,AVE
19782,4927 FRANKLIN DR,4927,FRANKLIN,DR
19790,"5520 STONEWALL PL, UNIT 16",5520,STONEWALL,PL
19821,"5000 BUTTE ST, UNIT 62",5000,BUTTE,ST
19824,4137 AMBER ST,4137,AMBER,ST
19825,4581 MAPLE CT,4581,MAPLE,CT
19829,3800 LAKEBRIAR DR,3800,LAKEBRIAR,DR
19830,"5505 VALMONT RD, UNIT 302",5505,VALMONT,RD
19831,3811 PASEO DEL PRADO,3811,PASEO DEL PRADO, 
19832,900 WALNUT ST,900,WALNUT,ST
19834,545 QUAIL CIR,545,QUAIL,CIR
19838,700 LOCUST AVE,700,LOCUST,AVE
19840,"836 WALNUT ST, UNIT B",836,WALNUT,ST
19843,505 UNIVERSITY AVE,505,UNIVERSITY,AVE
19847,4080 NEW HAVEN CT,4080,NEW HAVEN,CT
19850,4596 MACARTHUR DR,4596,MACARTHUR,DR
19851,4836 GIBBS AVE,4836,GIBBS,AVE
19853,4863 HOPKINS PL,4863,HOPKINS,PL
19857,5449 OMAHA PL,5449,OMAHA,PL
19866,"5000 BUTTE ST, UNIT 214",5000,BUTTE,ST
19873,"5505 VALMONT RD, UNIT 30",5505,VALMONT,RD
19877,4964 PEARL EAST CIR,4964,PEARL EAST,CIR
19885,"5520 STONEWALL PL, UNIT 31",5520,STONEWALL,PL
19891,"5505 VALMONT RD, UNIT 20",5505,VALMONT,RD
19913,4130 S HAMPTON CIR,4130,HAMPTON,CIR
19916,"854 WALNUT ST, UNIT 11",854,WALNUT,ST
19926,3810 LAKEBRIAR DR,3810,LAKEBRIAR,DR
19930,4139 AMBER ST,4139,AMBER,ST
19946,1655 9TH ST,1655,9TH,ST
19948,1090 QUINCE AVE,1090,QUINCE,AVE
19952,636 SPRUCE ST,636,SPRUCE,ST
19954,106 MINEOLA CT,106,MINEOLA,CT
19956,5951 ARAPAHOE RD,5951,ARAPAHOE,RD
19969,3961 ST PETERSBURG ST,3961,SAINT PETERSBURG,ST
19986,"5000 BUTTE ST, UNIT 120",5000,BUTTE,ST
19994,4756 EDISON LN,4756,EDISON,LN
19995,775 RACQUET LN,775,RACQUET,LN
20002,1095 UTICA AVE,1095,UTICA,AVE
20010,"625 PEARL ST, UNIT 4",625,PEARL,ST
20014,3595 SPRING CREEK PL,3595,SPRING CREEK,PL
20056,5695 AURORA PL,5695,AURORA,PL
20058,"745 ARAPAHOE AVE, UNIT 303",745,ARAPAHOE,AVE
20073,5349 N 51ST ST,5349,51ST,ST
20081,4012 MUSTIQUE CT,4012,MUSTIQUE,CT
20084,4385 NASSAU PL,4385,NASSAU,PL
20088,1457 OLD TALE RD,1457,OLD TALE,RD
20105,1005 MARINE ST,1005,MARINE,ST
20116,2934 NOGALES CT,2934,NOGALES,CT
20126,"5505 VALMONT RD, UNIT 314",5505,VALMONT,RD
20128,537 CANYON BLVD,537,CANYON,BLVD
20129,1301 LODGE LN,1301,LODGE,LN
20134,5473 OMAHA PL,5473,OMAHA,PL
20143,3015 47TH ST,3015,47TH,ST
20148,1990 57TH CT,1990,57TH,CT
20178,487 PEARL ST,487,PEARL,ST
20182,901 POPLAR PL,901,POPLAR,PL
20196,5295 CENTENNIAL TRL,5295,CENTENNIAL,TRL
20201,4145 AMBER ST,4145,AMBER,ST
20207,"3260 47TH ST, UNIT 111A",3260,47TH,ST
20208,"314 PEARL ST, UNIT 2",314,PEARL,ST
20217,851 RACQUET LN,851,RACQUET,LN
20218,4970 FRANKLIN DR,4970,FRANKLIN,DR
20222,5762 ORCHARD CREEK CIR,5762,ORCHARD CREEK,CIR
20232,1252 PINTAIL CIR,1252,PINTAIL,CIR
20235,829 RACQUET LN,829,RACQUET,LN
20239,5547 STONEWALL PL,5547,STONEWALL,PL
20259,1315 LODGE LN,1315,LODGE,LN
20267,805 HARTFORD DR,805,HARTFORD,DR
20276,"5530 STONEWALL PL, UNIT 32",5530,STONEWALL,PL
20299,2525 MEADOW AVE,2525,MEADOW,AVE
20302,505 KALMIA AVE,505,KALMIA,AVE
20307,"840 PEARL ST, UNIT C",840,PEARL,ST
20310,751 RACQUET LN,751,RACQUET,LN
20314,5757 N ORCHARD CREEK CIR,5757,ORCHARD CREEK,CIR
20316,911 POPLAR PL,911,POPLAR,PL
20317,708 ARAPAHOE AVE,708,ARAPAHOE,AVE
20320,1247 MALLARD CT,1247,MALLARD,CT
20322,4946 PEARL EAST CIR,4946,PEARL EAST,CIR
20323,4804 EDISON AVE,4804,EDISON,AVE
20330,5571 STONEWALL PL,5571,STONEWALL,PL
20332,3890 NORWOOD CT,3890,NORWOOD,CT
20341,765 POPLAR AVE,767,POPLAR,AVE
20346,4106 GREENBRIAR BLVD,4106,GREENBRIAR,BLVD
20351,885 RAINLILLY LN,885,RAINLILLY,LN
20355,572 ARAPAHOE AVE,572,ARAPAHOE,AVE
20360,3097 OURAY ST,3097,OURAY,ST
20361,905 HARTFORD DR,905,HARTFORD,DR
20370,4210 S HAMPTON CIR,4210,HAMPTON,CIR
20372,1544 MACARTHUR DR,1544,MACARTHUR,DR
20376,6343 BRUNTWOOD CT,6343,BRUNTWOOD,CT
20379,5725 ORCHARD CREEK CIR,5725,ORCHARD CREEK,CIR
20382,6137 GALE DR,6137,GALE,DR
20385,4136 AMBER ST,4136,AMBER,ST
20407,4943 NOBLE PARK PL,4943,NOBLE PARK,PL
20410,1444 WONDERVIEW CT,1444,WONDERVIEW,CT
20416,4751 MCKINLEY DR,4751,MCKINLEY,DR
20422,570 YUMA CIR,570,YUMA,CIR
20448,5250 CENTENNIAL TRL,5250,CENTENNIAL,TRL
20453,3843 PASEO DEL PRADO,3843,PASEO DEL PRADO, 
20456,91 ILLINI CT,91,ILLINI,CT
20458,2910 CARNEGIE DR,2910,CARNEGIE,DR
20460,3096 PALO PKWY,3096,PALO,PKWY
20462,1080 QUINCE AVE,1080,QUINCE,AVE
20467,710 QUINCE CIR,710,QUINCE,CIR
20484,150 MANHATTAN DR,150,MANHATTAN,DR
20486,5180 S BOULDER RD,5180,BOULDER,RD
20490,808 55TH ST,808,55TH,ST
20497,3938 WONDERLAND HILL AVE,3938,WONDERLAND HILL,AVE
20519,485 OAKWOOD PL,485,OAKWOOD,PL
20520,"5000 BUTTE ST, UNIT 68",5000,BUTTE,ST
20524,"856 WALNUT ST, UNIT 2",856,WALNUT,ST
20530,2582 SUMAC AVE,2582,SUMAC,AVE
