OBJECTID_1,FULLADDR,ADDRNUM,STREETNAME,STREETSUFF
62043,INT LOMA PL & PASEO DEL PRADO, , , 
62049,INT AZTEC DR & BLACKHAWK RD, , , 
62053,INT PALO PKWY & WINDING TRAIL DR, , , 
62054,INT 55TH ST & FRIENDS PL, , , 
62058,INT COTTAGE LN & UTICA AVE, , , 
62074,BLK 4100 GREENBRIAR BLVD,4100,GREENBRIAR,BLVD
62075,BLK 1600 FOOTHILLS PKWY,1600,FOOTHILLS,PKWY
62076,BLK 4300 COLORADO AVE,4300,COLORADO,AVE
62079,BLK 5500 PIONEER RD,5500,PIONEER,RD
62082,BLK 3100 BIG HORN ST,3100,BIG HORN,ST
62086,BLK 1500 CHERRYVALE RD,1500,CHERRYVALE,RD
62090,BLK 1000 ARAPAHOE AVE,1000,ARAPAHOE,AVE
62100,BLK 4500 MAPLE CT,4500,MAPLE,CT
62107,BLK 5600 FLATIRON PKWY,5600,FLATIRON,PKWY
62118,BLK 4000 ST PETERSBURG ST,4000,ST PETERSBURG,ST
62120,BLK 1900 6TH ST,1900,6TH,ST
62123,BLK 3200 NOBLE CT,3200,NOBLE,CT
62134,BLK 400 BOULDER CREEK BIKE PATH,400,BOULDER CREEK BIKE,PATH
62140,BLK 4000 47TH ST,4000,47TH,ST
62147,5239 CENTENNIAL TRL,5239,CENTENNIAL,TRL
62148,774 UTICA AVE,774,UTICA,AVE
62153,1560 SUMAC AVE,1560,SUMAC,AVE
62154,5560 STONEWALL PL,5560,STONEWALL,PL
62159,3686 SILVER PLUME LN,3686,SILVER PLUME,LN
62164,433 UTICA AVE,433,UTICA,AVE
62167,5525 STONEWALL PL,5525,STONEWALL,PL
62168,3750 SILVER PLUME LN,3750,SILVER PLUME,LN
62170,1521 HARRISON AVE,1521,HARRISON,AVE
62173,4808 EDISON AVE,4808,EDISON,AVE
62175,1197 QUINCE AVE,1197,QUINCE,AVE
62176,3788 FOLSOM ST,3788,FOLSOM,ST
62181,5284 CENTENNIAL TRL,5284,CENTENNIAL,TRL
62195,INT BASELINE RD & GAPTER RD, , , 
62211,INT 47TH ST & EDISON AVE, , , 
62214,INT RESERVE DR & SWALLOW LN, , , 
62228,INT FAIRWAY CT & PENNSYLVANIA AVE, , , 
62229,INT 9TH ST & UTICA AVE, , , 
62237,INT FRANKLIN DR & KINGS RIDGE BLVD, , , 
62242,INT MOUNTAIN VIEW RD & SPRUCE ST, , , 
62254,INT PALO PKWY & PASEO DEL PRADO, , , 
62260,INT 3RD ST & CANYON BLVD, , , 
62268,INT 7TH ST & UNIVERSITY AVE, , , 
62269,INT GREEN ROCK DR & MAPLETON AVE, , , 
62275,INT POPLAR AVE & PROMONTORY CT, , , 
62279,INT BROADWAY & QUINCE AVE, , , 
62315,INT 7TH ST & MARINE ST, , , 
62324,INT NEWPORT LN & POPLAR AVE, , , 
62326,INT 6TH ST & ARAPAHOE AVE, , , 
62367,BLK 1300 SWALLOW CT,1300,SWALLOW,CT
62368,BLK 2300 30TH ST,2300,30TH,ST
62389,INT CYPRESS DR & ROXWOOD LN, , , 
62399,INT GALE DR & SIMMONS DR, , , 
62401,INT MCSORLEY LN & OLD TALE RD, , , 
62403,INT COMMERCE ST & PEAK AVE, , , 
62411,INT PEAK AVE & RANGE ST, , , 
62416,INT 55TH ST & BASELINE RD, , , 
62421,INT 63RD ST & TOM WATSON DR, , , 
62425,INT ARAPAHOE AVE & CHERRYVALE RD, , , 
62432,INT S HAMPTON CIR & OLD WESTBURY CT, , , 
62433,INT HURON CT & ONTARIO PL, , , 
62437,BLK 2200 55TH ST,2200,55TH,ST
62440,BLK 900 ARAPAHOE AVE,900,ARAPAHOE,AVE
62442,BLK 400 SPRUCE ST,400,SPRUCE,ST
62446,BLK 800 MARINE ST,800,MARINE,ST
62453,BLK 3900 ORCHARD CT,3900,ORCHARD,CT
62456,BLK 500 PEARL ST,500,PEARL,ST
62459,BLK 1100 MERRITT DR,1100,MERRITT,DR
62462,BLK 4500 JAY RD,4500,JAY,RD
62463,BLK 900 CANYON BLVD,900,CANYON,BLVD
62465,BLK 2800 NEBRINA PL,2800,NEBRINA,PL
62468,BLK 1100 CHERRYVALE RD,1100,CHERRYVALE,RD
62471,BLK 500 KALMIA AVE,500,KALMIA,AVE
62479,BLK 4400 ARAPAHOE AVE,4400,ARAPAHOE,AVE
62493,BLK 4200 ARAPAHOE AVE,4200,ARAPAHOE,AVE
62506,BLK 3100 GATLING LN,3100,GATLING,LN
62515,BLK 5200 MANHATTAN CIR,5200,MANHATTAN,CIR
62518,BLK 1100 UTICA AVE,1100,UTICA,AVE
62519,BLK 1500 MCARTHUR DR,1500,MCARTHUR,DR
62523,BLK 4400 RUBY ST,4400,RUBY,ST
62524,BLK 2800 LOMA PL,2800,LOMA,PL
62535,BLK 3500 HAYDEN PL,3500,HAYDEN,PL
62536,BLK 5400 PENNSYLVANIA AVE,5400,PENNSYLVANIA,AVE
62540,30 S BOULDER CIR,30,BOULDER,CIR
62543,BLK 4300 NASSAU PL,4300,NASSAU,PL
